Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
11;1184251;Форма банка (без печати работодателя);Покупка автомобиля;1;0.2;женский;1;0;незаконченное высшее;вспомогательный персонал;>250;0;8;41;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184271;2НДФЛ;Ремонт;1;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;11;45;Торговля;ООО;холост / не замужем;3;2;0;0;0;0.0666666667;0;0;0;0;0.5;1;1;28;2;0;0;8;23;1;0;0;0;0;0;0
11;1184291;2НДФЛ;Ремонт;1;0.39;мужской;1;0;среднее-специальное;рабочий;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184311;Поступление зарплаты на счет;Ремонт;1;0.19;женский;1;0;незаконченное высшее;специалист;>250;1;20;30;Торговля;ООО;холост / не замужем;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184331;Поступление зарплаты на счет;Ремонт;1;0.47;женский;0;0;высшее;специалист;>250;0;75;31;Торговля;ООО;холост / не замужем;3;2;2;2;1;0.0656934307;1;0;0;0;0.2222222222;3;6;128;9;2;0;10;70;1;0;0;0;0;0;0
11;1184351;Форма банка (без печати работодателя);Покупка автомобиля;1;0.49;женский;0;0;высшее;менеджер среднего звена;< 50;0;26;30;Торговля;ООО;разведен / разведена;5;5;5;5;5;0.0119047619;1;4;2;2;0.5333333333;8;7;83;15;4;1;0;65;1;0;0;0;0;0;0
11;1184371;2НДФЛ;Ремонт;0;0.26;женский;0;0;высшее;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184391;2НДФЛ;Ремонт;0;0.45;женский;1;0;высшее;специалист;>250;4;93;32;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184411;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;47;28;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184431;Форма банка (без печати работодателя);Ремонт;1;0.47;женский;0;0;среднее;вспомогательный персонал;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184451;2НДФЛ;Покупка автомобиля;0;0.46;женский;1;0;среднее-специальное;специалист;>250;0;47;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184471;2НДФЛ;Покупка автомобиля;1;0.49;мужской;1;0;среднее-специальное;рабочий;< 50;0;6;27;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184491;Свободная форма с печатью работодателя;Покупка недвижимости/ строительство;1;0.38;женский;1;0;незаконченное высшее;рабочий;>250;3;26;27;Торговля;ООО;женат / замужем;1;1;1;0;0;0.0322580645;0;0;0;0;0;0;6;30;6;0;0;15;68;1;0;0;0;0;0;0
11;1184511;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.4;мужской;3;0;высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184531;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.18;мужской;1;0;среднее-специальное;менеджер высшего звена;< 50;0;7;41;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184551;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.24;мужской;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184571;2НДФЛ;Ремонт;0;0.48;женский;0;0;высшее;вспомогательный персонал;>250;0;37;30;Торговля;ООО;женат / замужем;12;11;11;7;4;0.0898203593;1;1;1;1;0.3529411765;6;11;152;17;5;0;0;92;1;0;0;0;0;0;0
11;1184591;Поступление зарплаты на счет;Ремонт;1;0.46;мужской;0;0;высшее;специалист;>250;0;48;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184611;2НДФЛ;Покупка автомобиля;1;0.59;мужской;1;0;высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184631;Поступление зарплаты на счет;Ремонт;1;0.19;женский;0;0;высшее;вспомогательный персонал;>250;0;16;29;Торговля;ОАО;холост / не замужем;2;2;2;2;2;0.0769230769;0;0;0;0;0;0;1;12;1;0;0;85;85;1;0;0;0;0;0;0
11;1184651;Поступление зарплаты на счет;Ремонт;0;0.23;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;1;48;31;Другое;ООО;холост / не замужем;6;4;3;2;2;0.0824742268;0;0;0;0;0;0;8;89;8;0;0;13;67;1;1;0;0;0;0;0
11;1184671;Поступление зарплаты на счет;Ремонт;1;0.33;мужской;2;0;второе высшее;менеджер высшего звена;>250;0;41;32;Другое;ООО;женат / замужем;0;0;0;0;0;0.1195652174;1;0;0;0;0.25;1;3;81;4;1;0;19;91;1;1;1;1;1;0;1
11;1184691;2НДФЛ;Ремонт;0;0.23;мужской;1;0;высшее;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184711;2НДФЛ;Ремонт;1;0.33;женский;1;0;высшее;специалист;>250;3;12;33;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184731;Форма банка (без печати работодателя);Ремонт;0;0.56;женский;2;0;высшее;менеджер среднего звена;>250;0;71;40;Торговля;ООО;женат / замужем;1;1;0;0;0;0;1;1;1;1;0.6666666667;2;1;68;3;1;1;1;35;0;0;0;0;0;0;0
11;1184751;Форма банка (без печати работодателя);Покупка бытовой техники;1;0.23;женский;1;0;высшее;специалист;< 50;0;6;36;Торговля;ООО;женат / замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
11;1184771;Поступление зарплаты на счет;Ремонт;1;0.58;мужской;2;0;высшее;менеджер среднего звена;>250;1;78;48;Другое;ООО;женат / замужем;1;1;1;1;0;0.0183486239;1;0;0;0;0.75;3;1;107;4;1;0;18;81;1;0;0;0;0;0;0
11;1184791;Поступление зарплаты на счет;Ремонт;1;0.58;женский;0;0;высшее;вспомогательный персонал;>250;0;19;23;Торговля;ООО;женат / замужем;2;1;1;1;1;0.0769230769;0;0;0;0;0.3333333333;1;2;24;3;0;0;13;23;1;0;0;0;0;0;0
11;1184811;2НДФЛ;Ремонт;1;0.56;женский;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184831;Поступление зарплаты на счет;Ремонт;0;0.39;мужской;0;0;высшее;менеджер высшего звена;< 50;0;71;35;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0.6666666667;2;1;71;3;1;0;19;51;0;0;0;0;0;0;0
11;1184851;Свободная форма с печатью работодателя;Ремонт;1;0.26;мужской;0;0;высшее;менеджер среднего звена;< 50;0;62;40;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184871;Поступление зарплаты на счет;Отпуск;0;0.13;мужской;1;0;высшее;вспомогательный персонал;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;1184891;Поступление зарплаты на счет;Ремонт;1;0.38;женский;0;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
